,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_スプリント,A_総走行距離,H_スプリント,H_総走行距離,A_ゴール期待値,H_ゴール期待値
0,1,0310,磐田,0-0,H,札幌ド,屋内,北海道コンサドーレ札幌,2012,sapp,,8,3,0,284,6,14,2,4,23,14,23,23,1,4,1,0,24,11,136,5.9%,42%,(0.0%),(62.3%),(50.0%),(73.9%),(42.9%),(91.3%),15,4,0,547,16,16,4,5,19,15,25,17,1,2,0,0,59,10,135,11.1%,58%,(0.0%),(80.4%),(25.0%),(89.5%),(60.0%),(92.0%),,,,,,
1,2,0317,神戸,1-2,A,ホームズ,屋内,北海道コンサドーレ札幌,2012,sapp,,14,6,0,403,16,13,1,3,33,13,17,35,1,1,2,0,45,12,144,9.7%,53.4%,(14.3%),(66.0%),(25.0%),(78.8%),(38.5%),(82.4%),19,5,0,306,9,19,1,7,33,11,23,31,4,1,2,0,31,14,147,12.9%,46.6%,(5.3%),(57.8%),(44.4%),(78.8%),(54.5%),(82.6%),,,,,,
2,3,0324,浦和,1-2,H,札幌ド,屋内,北海道コンサドーレ札幌,2012,sapp,,13,3,0,373,16,11,3,2,20,18,16,20,3,2,4,0,47,9,120,10.8%,42.3%,(7.7%),(76.7%),(12.5%),(90.0%),(50.0%),(75.0%),15,4,0,641,4,10,2,3,23,6,23,24,3,2,1,0,41,11,121,12.4%,57.7%,(13.3%),(84.7%),(100.0%),(100.0%),(50.0%),(65.2%),,,,,,
3,4,0331,清水,0-1,A,アウスタ,晴れ,北海道コンサドーレ札幌,2012,sapp,,7,1,0,498,14,9,1,6,34,17,27,29,3,1,1,0,51,8,152,4.6%,60.4%,(14.3%),(74.1%),(7.1%),(79.4%),(17.6%),(77.8%),6,0,0,302,10,14,1,3,40,12,29,15,7,1,4,0,29,6,153,3.9%,39.6%,(0.0%),(56.0%),(20.0%),(72.5%),(8.3%),(75.9%),,,,,,
4,5,0407,柏,0-2,H,札幌ド,屋内,北海道コンサドーレ札幌,2012,sapp,,9,1,0,306,13,10,1,3,22,15,14,34,6,4,0,0,21,12,127,7.1%,39.7%,(0.0%),(66.7%),(46.2%),(86.4%),(40.0%),(50.0%),28,7,0,652,18,10,4,8,26,12,18,22,5,1,2,0,61,18,130,21.5%,60.3%,(7.1%),(81.0%),(22.2%),(88.5%),(66.7%),(88.9%),,,,,,
5,6,0414,名古屋,1-3,A,豊田ス,屋内,北海道コンサドーレ札幌,2012,sapp,,21,6,0,513,15,10,5,5,26,11,30,21,2,1,1,0,49,17,140,15.0%,58.4%,(9.5%),(79.3%),(33.3%),(92.3%),(72.7%),(90.0%),14,6,0,378,21,13,1,10,24,10,15,18,5,4,1,0,35,18,141,9.9%,41.6%,(7.1%),(69.6%),(4.8%),(91.7%),(10.0%),(80.0%),,,,,,
6,7,0421,川崎Ｆ,2-3,H,札幌ド,屋内,北海道コンサドーレ札幌,2012,sapp,,10,2,0,359,11,13,0,1,18,8,23,37,3,5,1,0,32,7,131,7.6%,43.2%,(20.0%),(67.1%),(27.3%),(83.3%),(50.0%),(78.3%),24,9,1,581,21,10,5,8,39,16,16,11,2,0,0,0,43,24,143,16.8%,56.8%,(12.5%),(78.3%),(28.6%),(84.6%),(31.3%),(68.8%),,,,,,
7,8,0428,大宮,1-2,A,ＮＡＣＫ,晴れ,北海道コンサドーレ札幌,2012,sapp,,17,7,0,536,12,13,6,5,15,15,30,16,1,0,0,0,45,12,134,12.7%,51.2%,(11.8%),(81.7%),(58.3%),(86.7%),(66.7%),(76.7%),19,6,0,511,12,7,1,2,21,21,21,12,2,6,1,0,41,10,127,15.0%,48.8%,(5.3%),(77.3%),(16.7%),(100.0%),(47.6%),(85.7%),,,,,,
8,9,0503,Ｃ大阪,1-0,H,札幌厚別,曇り,北海道コンサドーレ札幌,2012,sapp,,12,5,0,299,15,16,2,4,27,15,21,36,8,1,3,0,32,12,147,8.2%,42.4%,(8.3%),(56.2%),(20.0%),(77.8%),(13.3%),(71.4%),17,2,0,565,27,18,1,10,31,28,10,16,3,1,4,0,51,10,157,10.8%,57.6%,(0.0%),(74.0%),(14.8%),(87.1%),(50.0%),(70.0%),,,,,,
9,10,0506,横浜FM,1-2,A,日産ス,晴れ,北海道コンサドーレ札幌,2012,sapp,,25,10,0,514,21,9,2,8,35,22,16,21,1,3,0,0,60,32,135,18.5%,58.2%,(8.0%),(76.1%),(33.3%),(94.3%),(45.5%),(75.0%),6,2,0,285,14,8,4,4,17,9,18,47,1,2,2,0,26,11,125,4.8%,41.8%,(16.7%),(66.3%),(28.6%),(82.4%),(22.2%),(88.9%),,,,,,
