,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値,A_スプリント,A_総走行距離,H_スプリント,H_総走行距離
0,1,0309,YS横浜,1-1,A,ニッパ球,晴,ブラウブリッツ秋田,2014,aki,,10,5,0,520,17,11,4,1,21,9,39,25,2,2,2,0,44,10,130,7.7%,42.2%,(10.0%),(78.8%),(11.8%),(90.5%),(55.6%),(74.4%),13,2,1,897,7,11,3,3,24,9,24,13,2,3,0,0,42,19,130,10.0%,57.8%,(7.7%),(88.6%),(0.0%),(83.3%),(44.4%),(79.2%),,,,,,
1,2,0316,琉球,0-2,A,沖縄県陸,晴,ブラウブリッツ秋田,2014,aki,,18,7,0,352,13,9,0,6,22,15,38,25,5,5,2,0,46,19,124,14.5%,39.4%,(11.1%),(71.0%),(23.1%),(86.4%),(60.0%),(81.6%),7,0,0,759,5,15,5,5,24,9,17,16,1,0,2,0,28,5,131,5.3%,60.6%,(0.0%),(85.5%),(0.0%),(75.0%),(22.2%),(76.5%),,,,,,
2,3,0323,福島,2-2,H,秋田球,晴,ブラウブリッツ秋田,2014,aki,,11,3,0,842,5,9,3,2,24,12,16,9,5,6,3,0,21,8,130,8.5%,63.6%,(18.2%),(88.2%),(20.0%),(87.5%),(58.3%),(81.3%),13,4,0,417,13,12,6,4,14,9,26,17,5,2,0,0,40,12,119,10.9%,36.4%,(7.7%),(78.2%),(30.8%),(57.1%),(55.6%),(92.3%),,,,,,
3,4,0330,J-22,1-2,H,秋田球,雨,ブラウブリッツ秋田,2014,aki,,16,4,0,996,19,5,1,6,23,16,25,13,7,2,1,0,43,16,123,13.0%,61.8%,(6.3%),(89.7%),(42.1%),(82.6%),(50.0%),(84.0%),19,5,0,444,5,4,2,5,14,20,28,19,15,1,0,0,29,12,117,16.2%,38.2%,(10.5%),(79.5%),(20.0%),(92.9%),(75.0%),(60.7%),,,,,,
4,5,0406,相模原,0-3,A,ギオンス,曇のち雨,ブラウブリッツ秋田,2014,aki,,27,7,1,460,23,9,1,11,14,14,22,12,9,2,1,0,46,24,124,21.8%,42.6%,(11.1%),(79.3%),(8.7%),(78.6%),(42.9%),(86.4%),5,3,0,840,7,13,2,4,13,5,21,24,6,1,2,0,16,3,122,4.1%,57.4%,(0.0%),(87.6%),(0.0%),(92.3%),(40.0%),(76.2%),,,,,,
5,6,0413,盛岡,2-1,H,秋田球,晴,ブラウブリッツ秋田,2014,aki,,5,2,1,1101,6,10,1,1,17,10,19,27,2,4,1,0,25,7,125,4.0%,69.6%,(40.0%),(90.8%),(33.3%),(82.4%),(40.0%),(84.2%),6,3,0,288,16,15,4,4,24,12,26,12,9,1,2,0,42,15,132,4.5%,30.4%,(16.7%),(63.2%),(31.3%),(58.3%),(25.0%),(73.1%),,,,,,
6,7,0420,金沢,0-1,A,石川西部,曇,ブラウブリッツ秋田,2014,aki,,24,7,0,335,18,10,1,5,12,12,30,15,2,1,1,0,35,17,111,21.6%,34.2%,(4.2%),(72.2%),(33.3%),(66.7%),(41.7%),(86.7%),11,2,0,948,11,16,1,5,21,9,18,16,4,1,1,0,30,6,120,9.2%,65.8%,(0.0%),(89.6%),(9.1%),(95.2%),(55.6%),(72.2%),,,,,,
7,8,0426,鳥取,1-0,H,秋田球,晴,ブラウブリッツ秋田,2014,aki,,9,2,0,614,9,17,1,1,27,8,21,31,1,3,4,0,23,6,139,6.5%,55.8%,(11.1%),(80.9%),(44.4%),(88.9%),(37.5%),(76.2%),12,5,0,414,20,15,4,6,28,9,34,17,3,1,4,1,48,13,144,8.3%,44.2%,(0.0%),(71.0%),(15.0%),(67.9%),(66.7%),(73.5%),,,,,,
8,9,0429,長野,1-2,H,秋田球,晴,ブラウブリッツ秋田,2014,aki,,9,2,0,803,13,13,3,2,33,11,15,18,2,3,1,1,40,10,135,6.7%,54.7%,(11.1%),(85.1%),(30.8%),(90.9%),(63.6%),(66.7%),13,3,0,540,16,9,3,1,19,9,31,21,4,3,1,0,52,13,129,10.1%,45.3%,(15.4%),(79.6%),(25.0%),(94.7%),(77.8%),(77.4%),,,,,,
9,10,0504,町田,1-4,A,町田,晴,ブラウブリッツ秋田,2014,aki,,18,7,1,427,15,10,2,4,24,19,31,16,12,3,1,0,46,17,128,14.1%,38.7%,(22.2%),(76.3%),(6.7%),(87.5%),(63.2%),(80.6%),8,3,0,807,11,13,3,1,16,8,23,24,5,2,3,0,34,5,129,6.2%,61.3%,(12.5%),(87.7%),(0.0%),(81.3%),(50.0%),(78.3%),,,,,,
