,節,開催日,相手,スコア,HomeAway,会場,天候,指揮官,自チーム,年度,team_id,H_ゴール期待値,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_ゴール期待値,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率
0,1,0310,Ｇ大23,2-2,A,パナスタ,雨,大石　篤人,ヴァンラーレ八戸,2019,hach,1.859,14,4,1,641,20,15,1,5,20,20,15,16,2,3,0,0,50,18,143,9.8%,58.2%,(14.3%),(81.0%),(5.0%),(80.0%),(30.0%),(66.7%),1.246,16,4,0,371,12,12,3,5,20,13,27,32,5,1,1,0,30,12,140,11.4%,41.8%,(12.5%),(67.1%),(8.3%),(90.0%),(53.8%),(74.1%)
1,2,0317,長野,2-0,A,長野Ｕ,曇のち晴,大石　篤人,ヴァンラーレ八戸,2019,hach,0.932,12,1,0,443,23,11,2,6,42,9,22,17,3,4,1,0,30,10,157,7.6%,49.8%,(0.0%),(59.6%),(8.7%),(61.9%),(11.1%),(50.0%),1.78,7,2,1,384,14,11,4,4,24,10,26,40,2,1,1,0,24,4,145,4.8%,50.2%,(28.6%),(61.2%),(14.3%),(41.7%),(40.0%),(53.8%)
2,3,0324,YS横浜,3-4,H,ダイスタ,曇のち雪のち晴,大石　篤人,ヴァンラーレ八戸,2019,hach,2.896,23,7,0,386,18,10,3,3,43,21,36,30,1,0,2,0,34,11,146,15.8%,47%,(13.0%),(64.2%),(22.2%),(58.1%),(61.9%),(58.3%),1.827,16,7,0,401,19,12,0,5,37,23,36,40,2,3,0,0,36,22,142,11.3%,53%,(25.0%),(69.8%),(21.1%),(81.1%),(47.8%),(66.7%)
3,4,0330,群馬,1-0,A,正田スタ,曇時々雨,大石　篤人,ヴァンラーレ八戸,2019,hach,2.305,22,9,0,469,32,16,3,10,46,19,11,24,0,2,0,0,39,14,166,13.3%,51.1%,(0.0%),(58.8%),(25.0%),(76.1%),(36.8%),(63.6%),0.961,12,4,0,355,18,7,2,4,39,6,15,38,1,3,4,0,19,11,149,8.1%,48.9%,(8.3%),(53.2%),(27.8%),(74.4%),(66.7%),(46.7%)
4,5,0407,鳥取,2-2,H,ダイスタ,雨のち曇のち晴,大石　篤人,ヴァンラーレ八戸,2019,hach,1.047,9,4,0,469,14,10,6,3,27,6,19,34,2,1,2,0,31,5,136,6.6%,49.9%,(22.2%),(73.1%),(28.6%),(85.2%),(33.3%),(63.2%),0.955,12,4,0,561,11,11,1,6,33,5,19,19,1,6,1,0,30,12,139,8.6%,50.1%,(16.7%),(74.9%),(54.5%),(97.0%),(40.0%),(52.6%)
5,6,0413,Ｆ東23,0-1,A,味フィ西,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,2.309,16,6,1,613,26,6,3,7,34,15,17,25,5,5,1,0,37,17,148,10.8%,59.7%,(6.3%),(76.8%),(23.1%),(82.4%),(53.3%),(58.8%),1.382,13,7,0,392,19,10,5,1,22,9,25,44,1,3,1,0,31,8,136,9.6%,40.3%,(0.0%),(66.3%),(31.6%),(86.4%),(44.4%),(60.0%)
6,7,0428,福島,2-3,H,ダイスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,0.949,10,4,0,500,17,10,5,5,23,15,26,20,1,5,1,1,39,12,128,7.8%,54.4%,(20.0%),(76.4%),(11.8%),(87.0%),(60.0%),(61.5%),2.5,24,11,0,430,19,6,5,6,23,16,20,34,1,5,0,0,47,20,131,18.3%,45.6%,(12.5%),(74.7%),(26.3%),(91.3%),(62.5%),(75.0%)
7,8,0505,熊本,0-1,A,えがおＳ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,1.376,15,4,0,525,13,17,1,5,27,5,17,15,2,3,0,0,37,14,117,12.8%,55.4%,(6.7%),(82.7%),(38.5%),(96.3%),(40.0%),(52.9%),0.868,8,2,0,435,10,7,3,0,28,10,15,22,2,2,2,0,25,9,110,7.3%,44.6%,(0.0%),(77.2%),(20.0%),(89.3%),(40.0%),(80.0%)
8,9,0519,沼津,0-1,H,ダイスタ,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,0.306,5,2,0,535,20,16,5,2,26,14,22,14,2,0,1,0,45,5,132,3.8%,61.8%,(0.0%),(74.6%),(10.0%),(88.5%),(35.7%),(59.1%),1.676,13,2,0,288,11,18,0,2,29,12,24,28,3,5,1,0,27,11,130,10.0%,38.2%,(7.7%),(61.1%),(36.4%),(58.6%),(50.0%),(62.5%)
9,10,0530,Ｃ大23,3-0,A,ヤンマー,晴,大石　篤人,ヴァンラーレ八戸,2019,hach,0.837,14,2,0,584,19,12,0,7,32,15,15,16,0,1,1,0,43,12,145,9.7%,56.3%,(0.0%),(79.3%),(26.3%),(78.1%),(53.3%),(53.3%),2.182,16,6,0,377,10,10,1,6,25,10,23,45,2,0,0,0,35,10,136,11.8%,43.7%,(18.8%),(71.9%),(20.0%),(80.0%),(50.0%),(78.3%)
