,節,開催日,相手,スコア,HomeAway,会場,天候,自チーム,年度,team_id,指揮官,H_シュート,H_枠内シュート,H_PKによるシュート,H_パス,H_クロス,H_直接ＦＫ,H_間接ＦＫ,H_ＣＫ,H_スローイン,H_ドリブル,H_タックル,H_クリア,H_インターセプト,H_オフサイド,H_警告,H_退場,H_３０ｍライン進入,H_ペナルティエリア進入,H_攻撃回数,H_チャンス構築率,H_ボール支配率,H_シュート成功率,H_パス成功率,H_クロス成功率,H_スローイン成功率,H_ドリブル成功率,H_タックル成功率,A_シュート,A_枠内シュート,A_PKによるシュート,A_パス,A_クロス,A_直接ＦＫ,A_間接ＦＫ,A_ＣＫ,A_スローイン,A_ドリブル,A_タックル,A_クリア,A_インターセプト,A_オフサイド,A_警告,A_退場,A_３０ｍライン進入,A_ペナルティエリア進入,A_攻撃回数,A_チャンス構築率,A_ボール支配率,A_シュート成功率,A_パス成功率,A_クロス成功率,A_スローイン成功率,A_ドリブル成功率,A_タックル成功率,A_ゴール期待値,H_ゴール期待値
0,1,0313,YS横浜,0-0,H,吹田Ｓ,曇,ガンバ大阪U-23,2016,g-23,,12,2,0,560,17,11,0,4,40,19,28,17,7,4,2,0,50,17,171,7.0%,54.1%,(0.0%),(73.4%),(17.6%),(85.0%),(47.4%),(89.3%),11,1,0,468,11,10,4,4,27,16,39,39,2,0,0,0,42,12,165,6.7%,45.9%,(0.0%),(69.7%),(9.1%),(74.1%),(43.8%),(87.2%),,
1,2,0320,盛岡,4-1,H,吹田Ｓ,晴,ガンバ大阪U-23,2016,g-23,,8,3,0,615,11,13,2,5,22,8,33,33,6,8,2,0,36,9,154,5.2%,57.4%,(37.5%),(78.4%),(18.2%),(86.4%),(62.5%),(84.8%),19,7,1,393,21,12,8,14,29,25,16,27,3,1,2,0,52,19,161,11.8%,42.6%,(5.3%),(67.9%),(14.3%),(96.6%),(56.0%),(87.5%),,
2,3,0403,富山,1-2,A,富山,曇,ガンバ大阪U-23,2016,g-23,,15,4,0,480,14,15,1,8,16,21,34,26,4,1,1,0,22,10,141,10.6%,49.9%,(13.3%),(79.2%),(14.3%),(100.0%),(38.1%),(76.5%),11,3,0,506,10,10,1,3,25,10,43,16,3,1,2,0,50,7,135,8.1%,50.1%,(9.1%),(79.8%),(10.0%),(88.0%),(30.0%),(67.4%),,
3,4,0410,Ｃ大23,2-1,H,吹田Ｓ,曇のち晴,ガンバ大阪U-23,2016,g-23,,14,5,1,438,15,10,0,7,13,13,15,19,3,0,1,1,29,13,116,12.1%,45.8%,(14.3%),(78.3%),(26.7%),(76.9%),(46.2%),(53.3%),20,7,0,526,22,13,0,9,15,16,18,19,0,0,1,1,54,15,117,17.1%,54.2%,(5.0%),(83.5%),(27.3%),(86.7%),(50.0%),(72.2%),,
4,5,0417,Ｆ東23,1-1,A,夢の島,雨のち曇時々晴,ガンバ大阪U-23,2016,g-23,,9,5,0,383,23,14,0,4,38,13,22,13,0,2,4,0,43,11,165,5.5%,43%,(11.1%),(64.0%),(17.4%),(78.9%),(53.8%),(90.9%),17,7,0,549,12,12,2,6,32,17,25,9,3,0,0,0,43,13,152,11.2%,57%,(5.9%),(76.9%),(16.7%),(81.3%),(58.8%),(84.0%),,
5,6,0423,大分,2-2,H,万博,曇,ガンバ大阪U-23,2016,g-23,,12,5,0,616,12,7,5,2,17,16,24,24,6,1,1,0,50,10,125,9.6%,53.8%,(16.7%),(81.8%),(8.3%),(100.0%),(18.8%),(79.2%),20,5,1,504,22,7,1,6,25,12,26,21,1,4,1,0,54,19,129,15.5%,46.2%,(10.0%),(77.6%),(22.7%),(96.0%),(66.7%),(69.2%),,
6,7,0501,秋田,0-1,A,Ａ‐スタ,雨のち曇,ガンバ大阪U-23,2016,g-23,,20,7,0,436,12,12,1,4,25,15,35,21,4,2,1,0,50,17,130,15.4%,46.9%,(5.0%),(76.1%),(25.0%),(68.0%),(33.3%),(74.3%),4,2,0,534,16,11,2,4,24,25,16,12,7,1,1,0,40,6,127,3.1%,53.1%,(0.0%),(80.0%),(0.0%),(87.5%),(48.0%),(81.3%),,
7,8,0508,藤枝,2-0,H,万博,晴,ガンバ大阪U-23,2016,g-23,,25,9,0,623,22,15,1,9,26,17,25,16,8,0,1,0,47,18,152,16.4%,53.9%,(8.0%),(80.9%),(22.7%),(69.2%),(64.7%),(76.0%),12,2,0,498,16,8,0,4,29,16,23,12,6,1,1,0,28,9,145,8.3%,46.1%,(0.0%),(76.5%),(12.5%),(82.8%),(25.0%),(78.3%),,
8,9,0515,琉球,0-1,A,沖縄県陸,晴,ガンバ大阪U-23,2016,g-23,,17,3,1,384,8,14,1,5,28,9,32,23,3,0,1,0,31,11,142,12.0%,43.3%,(5.9%),(69.8%),(0.0%),(82.1%),(22.2%),(81.3%),6,1,0,571,13,11,0,3,34,15,34,15,0,1,3,1,36,6,137,4.4%,56.7%,(0.0%),(78.1%),(30.8%),(100.0%),(13.3%),(76.5%),,
9,10,0522,相模原,0-1,H,万博,晴,ガンバ大阪U-23,2016,g-23,,11,3,0,647,14,13,3,8,25,10,19,8,4,3,3,1,51,8,128,8.6%,56.2%,(0.0%),(83.3%),(0.0%),(96.0%),(50.0%),(89.5%),10,5,0,498,11,11,3,3,18,10,27,32,7,3,0,0,34,9,110,9.1%,43.8%,(10.0%),(82.1%),(45.5%),(88.9%),(20.0%),(70.4%),,
