,試合日,節,大会,ホーム,スコア,アウェイ,スタジアム
0,19970308,１,ＹＮＣ 予選Ｂグループ,Ｇ大阪,3-3,札幌,万博
1,19970315,２,ＹＮＣ 予選Ｂグループ,札幌,2-2,Ｖ川崎,長崎
2,19970319,３,ＹＮＣ 予選Ｂグループ,横浜M,1-3,札幌,三ツ沢
3,19970322,４,ＹＮＣ 予選Ｂグループ,Ｖ川崎,2-2,札幌,等々力
4,19970326,５,ＹＮＣ 予選Ｂグループ,札幌,1-2,横浜M,長良川
5,19970329,６,ＹＮＣ 予選Ｂグループ,札幌,1-0,Ｇ大阪,水前寺
6,19971015,0,ＹＮＣ 決勝トーナメント,札幌,1-2,鹿島,札幌
7,19971018,0,ＹＮＣ 決勝トーナメント,鹿島,7-0,札幌,カシマ
8,19980321,１,Ｊ１ １ｓｔ,清水,4-1,札幌,日本平
9,19980325,２,Ｊ１ １ｓｔ,札幌,1-3,鹿島,仙台
10,19980328,３,Ｊ１ １ｓｔ,柏,1-1(PK5-4),札幌,柏
11,19980404,４,Ｊ１ １ｓｔ,札幌,1-0,Ｇ大阪,室蘭
12,19980411,５,Ｊ１ １ｓｔ,横浜M,4-0,札幌,三ツ沢
13,19980415,６,Ｊ１ １ｓｔ,札幌,2-0,浦和,仙台
14,19980418,７,Ｊ１ １ｓｔ,名古屋,2-1,札幌,瑞穂陸
15,19980425,８,Ｊ１ １ｓｔ,札幌,3-3(PK4-5),平塚,室蘭
16,19980429,９,Ｊ１ １ｓｔ,磐田,4-0,札幌,磐田
17,19980502,１０,Ｊ１ １ｓｔ,札幌,1-3,Ｖ川崎,室蘭
18,19980505,１１,Ｊ１ １ｓｔ,神戸,2-3,札幌,神戸ユ
19,19980509,１２,Ｊ１ １ｓｔ,札幌,3-2,市原,室蘭
20,19980516,１,ＹＮＣ 予選Ｃグループ,清水,2-0,札幌,日本平
21,19980523,２,ＹＮＣ 予選Ｃグループ,Ｇ大阪,5-2,札幌,万博
22,19980530,３,ＹＮＣ 予選Ｃグループ,札幌,3-2,横浜Ｆ,室蘭
23,19980606,５,ＹＮＣ 予選Ｃグループ,札幌,0-2,川崎Ｆ,室蘭
24,19980725,１３,Ｊ１ １ｓｔ,横浜Ｆ,2-2(PK5-3),札幌,三ツ沢
25,19980729,１４,Ｊ１ １ｓｔ,札幌,3-4,Ｃ大阪,札幌
26,19980801,１５,Ｊ１ １ｓｔ,広島,4-3,札幌,広島ス
27,19980805,１６,Ｊ１ １ｓｔ,札幌,1-2,福岡,札幌
28,19980808,１７,Ｊ１ １ｓｔ,京都,4-2,札幌,西京極
29,19980822,１,Ｊ１ ２ｎｄ,Ｃ大阪,1-3,札幌,長居
30,19980829,２,Ｊ１ ２ｎｄ,札幌,2-0,広島,札幌
31,19980905,３,Ｊ１ ２ｎｄ,福岡,1-0,札幌,博多球
32,19980912,４,Ｊ１ ２ｎｄ,札幌,2-0,京都,札幌
33,19980915,５,Ｊ１ ２ｎｄ,札幌,1-2,清水,札幌
34,19980919,６,Ｊ１ ２ｎｄ,鹿島,3-2,札幌,カシマ
35,19980923,７,Ｊ１ ２ｎｄ,札幌,3-2,柏,札幌
36,19980926,８,Ｊ１ ２ｎｄ,Ｇ大阪,1-0,札幌,万博
37,19981003,９,Ｊ１ ２ｎｄ,札幌,0-2,横浜M,札幌
38,19981014,１０,Ｊ１ ２ｎｄ,浦和,2-1,札幌,駒場
39,19981017,１１,Ｊ１ ２ｎｄ,札幌,3-2,名古屋,札幌
40,19981021,１２,Ｊ１ ２ｎｄ,平塚,2-2(PK4-3),札幌,平塚
41,19981024,１３,Ｊ１ ２ｎｄ,札幌,1-6,磐田,札幌
42,19981031,１４,Ｊ１ ２ｎｄ,Ｖ川崎,1-2,札幌,等々力
43,19981103,１５,Ｊ１ ２ｎｄ,札幌,3-0,神戸,札幌
44,19981107,１６,Ｊ１ ２ｎｄ,市原,1-3,札幌,市原
45,19981114,１７,Ｊ１ ２ｎｄ,札幌,1-4,横浜Ｆ,札幌
46,19981122,２,Ｊ１参入,神戸,2-1,札幌,神戸ユ
47,19981126,３,Ｊ１参入,札幌,0-2,神戸,室蘭
48,19981202,４,Ｊ１参入,福岡,1-0,札幌,博多球
49,19981205,５,Ｊ１参入,札幌,0-3,福岡,室蘭
50,19990314,１,Ｊ２,大分,1-0,札幌,大分
51,19990321,２,Ｊ２,大宮,1-2,札幌,大宮
52,19990328,３,Ｊ２,札幌,2-3,鳥栖,室蘭
53,19990404,４,Ｊ２,仙台,1-1,札幌,仙台
54,19990407,0,ＹＮＣ,札幌,1-0,福岡,室蘭
55,19990411,５,Ｊ２,札幌,0-1,新潟,室蘭
56,19990414,0,ＹＮＣ,福岡,3-0,札幌,博多球
57,19990418,６,Ｊ２,川崎Ｆ,2-0,札幌,等々力
58,19990425,７,Ｊ２,札幌,3-2,山形,室蘭
59,19990429,８,Ｊ２,Ｆ東京,2-1,札幌,西が丘
60,19990502,９,Ｊ２,札幌,6-0,甲府,札幌
61,19990505,１０,Ｊ２,札幌,1-0,大宮,札幌
62,19990509,１１,Ｊ２,鳥栖,2-2,札幌,鳥栖
63,19990516,１２,Ｊ２,札幌,3-0,仙台,札幌
64,19990522,１３,Ｊ２,新潟,0-1,札幌,新潟
65,19990529,１４,Ｊ２,札幌,1-1,川崎Ｆ,札幌
66,19990627,１５,Ｊ２,山形,1-1,札幌,山形県
67,19990704,１６,Ｊ２,札幌,0-1,Ｆ東京,札幌
68,19990709,１７,Ｊ２,甲府,1-1,札幌,小瀬
69,19990717,１８,Ｊ２,札幌,1-0,大分,札幌
70,19990801,１９,Ｊ２,札幌,2-0,仙台,札幌
71,19990807,２０,Ｊ２,新潟,1-1,札幌,新潟
72,19990815,２１,Ｊ２,札幌,3-2,大分,札幌
73,19990823,２２,Ｊ２,山形,1-4,札幌,山形県
74,19990829,２３,Ｊ２,札幌,4-1,Ｆ東京,札幌
75,19990905,２４,Ｊ２,鳥栖,0-1,札幌,鳥栖
76,19990910,２５,Ｊ２,川崎Ｆ,2-0,札幌,等々力
77,19990915,２６,Ｊ２,札幌,4-0,甲府,札幌
78,19990919,２７,Ｊ２,大宮,1-0,札幌,大宮
79,19990926,２８,Ｊ２,札幌,1-2,新潟,札幌
80,19991002,２９,Ｊ２,大分,2-0,札幌,大分
81,19991011,３０,Ｊ２,札幌,2-0,山形,札幌
82,19991017,３１,Ｊ２,Ｆ東京,0-1,札幌,江戸川
83,19991024,３２,Ｊ２,札幌,1-0,鳥栖,札幌
84,19991031,３３,Ｊ２,札幌,1-2,川崎Ｆ,札幌
85,19991106,３４,Ｊ２,甲府,0-3,札幌,小瀬
86,19991114,３５,Ｊ２,札幌,0-1,大宮,札幌
87,19991121,３６,Ｊ２,仙台,1-0,札幌,仙台
88,20000312,１,Ｊ２,鳥栖,0-4,札幌,鳥栖
89,20000320,２,Ｊ２,甲府,0-3,札幌,小瀬
90,20000330,４,Ｊ２,札幌,3-0,新潟,室蘭
91,20000402,５,Ｊ２,仙台,1-2,札幌,仙台
92,20000415,７,Ｊ２,大分,0-0,札幌,大分
93,20000419,0,ＹＮＣ,Ｇ大阪,2-1,札幌,万博
94,20000423,８,Ｊ２,札幌,0-2,山形,函館
95,20000430,９,Ｊ２,水戸,0-2,札幌,ひたちな
96,20000504,１０,Ｊ２,札幌,2-1,湘南,札幌
97,20000508,１１,Ｊ２,大宮,0-2,札幌,大宮
98,20000514,１２,Ｊ２,札幌,2-0,鳥栖,札幌
99,20000518,１３,Ｊ２,札幌,2-1,甲府,札幌
100,20000524,0,ＹＮＣ,札幌,0-1,Ｇ大阪,札幌
101,20000527,１５,Ｊ２,新潟,0-1,札幌,新潟
102,20000601,１６,Ｊ２,札幌,3-1,仙台,札幌
103,20000604,１７,Ｊ２,浦和,0-1,札幌,駒場
104,20000610,１８,Ｊ２,札幌,2-1,大分,札幌
105,20000617,１９,Ｊ２,山形,0-1,札幌,山形県
106,20000621,２０,Ｊ２,札幌,3-0,水戸,札幌
107,20000625,２１,Ｊ２,湘南,1-2,札幌,平塚
108,20000702,２２,Ｊ２,札幌,2-1,大宮,札幌
109,20000709,２３,Ｊ２,札幌,2-1,新潟,札幌
110,20000716,６,Ｊ２,札幌,1-1,浦和,室蘭
111,20000722,２４,Ｊ２,仙台,0-2,札幌,仙台
112,20000729,２５,Ｊ２,札幌,2-1,浦和,札幌
113,20000802,２６,Ｊ２,大分,1-0,札幌,大分
114,20000805,２７,Ｊ２,札幌,1-0,山形,札幌
115,20000812,２８,Ｊ２,水戸,0-2,札幌,ひたちな
116,20000819,２９,Ｊ２,札幌,1-1,湘南,札幌
117,20000826,３０,Ｊ２,大宮,0-2,札幌,大宮
118,20000903,３１,Ｊ２,札幌,1-2,鳥栖,札幌
119,20000911,３２,Ｊ２,甲府,0-2,札幌,小瀬
120,20000924,３４,Ｊ２,札幌,1-0,仙台,札幌
121,20000928,３５,Ｊ２,浦和,1-2,札幌,駒場
122,20001001,３６,Ｊ２,札幌,2-1,大分,札幌
123,20001008,３７,Ｊ２,山形,0-0,札幌,山形県
124,20001015,３８,Ｊ２,札幌,5-0,水戸,札幌
125,20001021,３９,Ｊ２,湘南,0-3,札幌,平塚
126,20001029,４０,Ｊ２,札幌,2-0,大宮,札幌
127,20001105,４１,Ｊ２,鳥栖,2-0,札幌,鳥栖
128,20001112,４２,Ｊ２,札幌,1-1,甲府,札幌
129,20001119,４４,Ｊ２,新潟,1-2,札幌,新潟
130,20010310,１,Ｊ１ １ｓｔ,Ｃ大阪,1-2,札幌,長居
131,20010317,２,Ｊ１ １ｓｔ,札幌,2-1,柏,高知陸
132,20010331,３,Ｊ１ １ｓｔ,広島,1-0,札幌,広島ビ
133,20010404,0,ＹＮＣ,大分,2-0,札幌,大分陸
134,20010407,４,Ｊ１ １ｓｔ,札幌,2-0,東京Ｖ,室蘭
135,20010414,５,Ｊ１ １ｓｔ,神戸,0-0,札幌,神戸ユ
136,20010418,0,ＹＮＣ,札幌,2-1,大分,室蘭
137,20010429,６,Ｊ１ １ｓｔ,札幌,1-0,Ｇ大阪,函館
138,20010503,７,Ｊ１ １ｓｔ,清水,5-2,札幌,日本平
139,20010506,８,Ｊ１ １ｓｔ,Ｆ東京,2-1,札幌,丸亀
140,20010512,９,Ｊ１ １ｓｔ,札幌,2-1,鹿島,札幌厚別
141,20010519,１０,Ｊ１ １ｓｔ,磐田,2-1,札幌,磐田
