ポジション,選手,監督,日付,気温,湿度,主審,試合情報,チーム名
MF,パク　カンイル,反町　康治,2013/06/01,20.6,60%,池内　明彦,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日",松本山雅ＦＣ
MF,飯尾　竜太朗,反町　康治,2013/06/01,20.6,60%,池内　明彦,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日",松本山雅ＦＣ
FW,船山　貴之,反町　康治,2013/06/01,20.6,60%,池内　明彦,"２０１３Ｊリーグ　ディビジョン２
								 第１７節第１日",松本山雅ＦＣ
FW,ドウグラス,小林　伸二,2012/06/13,22.3,76%,野田　祐樹,"２０１２Ｊリーグ　ディビジョン２
								 第１９節第１日",徳島ヴォルティス
FW,津田　知宏,小林　伸二,2012/06/13,22.3,76%,野田　祐樹,"２０１２Ｊリーグ　ディビジョン２
								 第１９節第１日",徳島ヴォルティス
GK,水谷　雄一,大木　武,2012/06/13,23.3,67%,福島　孝一郎,"２０１２Ｊリーグ　ディビジョン２
								 第１９節第１日",京都サンガF.C.
DF,安藤　淳,大木　武,2012/06/13,23.3,67%,福島　孝一郎,"２０１２Ｊリーグ　ディビジョン２
								 第１９節第１日",京都サンガF.C.
DF,秋本　倫孝,大木　武,2012/06/13,23.3,67%,福島　孝一郎,"２０１２Ｊリーグ　ディビジョン２
								 第１９節第１日",京都サンガF.C.
DF,福村　貴幸,大木　武,2012/06/13,23.3,67%,福島　孝一郎,"２０１２Ｊリーグ　ディビジョン２
								 第１９節第１日",京都サンガF.C.
DF,黄　大城,大木　武,2012/06/13,23.3,67%,福島　孝一郎,"２０１２Ｊリーグ　ディビジョン２
								 第１９節第１日",京都サンガF.C.
MF,チョン　ウヨン,大木　武,2012/06/13,23.3,67%,福島　孝一郎,"２０１２Ｊリーグ　ディビジョン２
								 第１９節第１日",京都サンガF.C.
MF,中山　博貴,大木　武,2012/06/13,23.3,67%,福島　孝一郎,"２０１２Ｊリーグ　ディビジョン２
								 第１９節第１日",京都サンガF.C.
MF,工藤　浩平,大木　武,2012/06/13,23.3,67%,福島　孝一郎,"２０１２Ｊリーグ　ディビジョン２
								 第１９節第１日",京都サンガF.C.
