ポジション1,選手1,チーム1,監督1,ポジション2,選手2,チーム2,監督2,日付,試合情報
FW,桒田　慎一朗,ファジアーノ岡山,影山　雅永,FW,桒田　慎一朗,ロアッソ熊本,吉田　靖,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
GK,水谷　雄一,アビスパ福岡,マリヤン　プシュニク,GK,水谷　雄一,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,宮本　卓也,アビスパ福岡,マリヤン　プシュニク,DF,宮本　卓也,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,パク　ゴン,アビスパ福岡,マリヤン　プシュニク,DF,パク　ゴン,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,堤　俊輔,アビスパ福岡,マリヤン　プシュニク,DF,堤　俊輔,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,尾亦　弘友希,アビスパ福岡,マリヤン　プシュニク,DF,尾亦　弘友希,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,船山　祐二,アビスパ福岡,マリヤン　プシュニク,MF,船山　祐二,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,中原　秀人,アビスパ福岡,マリヤン　プシュニク,MF,中原　秀人,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,石津　大介,アビスパ福岡,マリヤン　プシュニク,MF,石津　大介,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,坂田　大輔,アビスパ福岡,マリヤン　プシュニク,FW,坂田　大輔,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,押谷　祐樹,ファジアーノ岡山,影山　雅永,FW,押谷　祐樹,ロアッソ熊本,吉田　靖,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,荒田　智之,ファジアーノ岡山,影山　雅永,FW,荒田　智之,ロアッソ熊本,吉田　靖,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,金森　健志,アビスパ福岡,マリヤン　プシュニク,FW,金森　健志,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
FW,城後　寿,アビスパ福岡,マリヤン　プシュニク,FW,城後　寿,ＦＣ岐阜,行徳　浩二,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
GK,山本　海人,ヴィッセル神戸,安達　亮,GK,山本　海人,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,奥井　諒,ヴィッセル神戸,安達　亮,DF,奥井　諒,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,イ　グァンソン,ヴィッセル神戸,安達　亮,DF,イ　グァンソン,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,岩波　拓也,ヴィッセル神戸,安達　亮,DF,岩波　拓也,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
DF,大屋　翼,ヴィッセル神戸,安達　亮,DF,大屋　翼,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,エステバン,ヴィッセル神戸,安達　亮,MF,エステバン,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,田中　英雄,ヴィッセル神戸,安達　亮,MF,田中　英雄,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
MF,マジーニョ,ヴィッセル神戸,安達　亮,MF,マジーニョ,ガイナーレ鳥取,小村　徳男,2013/05/26,"２０１３Ｊリーグ　ディビジョン２
								 第１６節第１日"
