,節,開催日,相手,スコア,HomeAway,会場,天候,指揮官,自チーム,年度,team_id
0,1,0227,横浜FC,5-1,H,札幌ド,屋内,ペトロヴィッチ,北海道コンサドーレ札幌,2021,sapp
1,2,0306,名古屋,0-1,A,豊田ス,曇,ペトロヴィッチ,北海道コンサドーレ札幌,2021,sapp
2,3,0310,広島,1-2,A,Ｅスタ,晴,ペトロヴィッチ,北海道コンサドーレ札幌,2021,sapp
3,5,0317,浦和,0-0,A,埼玉,晴,ペトロヴィッチ,北海道コンサドーレ札幌,2021,sapp
4,6,0320,神戸,3-4,H,札幌ド,屋内,ペトロヴィッチ,北海道コンサドーレ札幌,2021,sapp
5,7,0403,福岡,2-1,A,ベススタ,晴のち曇,ペトロヴィッチ,北海道コンサドーレ札幌,2021,sapp
6,8,0407,FC東京,1-2,A,味スタ,晴,ペトロヴィッチ,北海道コンサドーレ札幌,2021,sapp
7,9,0411,鹿島,2-2,H,札幌ド,屋内,ペトロヴィッチ,北海道コンサドーレ札幌,2021,sapp
8,10,0416,横浜FM,1-3,H,札幌ド,屋内,ペトロヴィッチ,北海道コンサドーレ札幌,2021,sapp
9,11,0424,仙台,2-1,H,札幌厚別,晴,ペトロヴィッチ,北海道コンサドーレ札幌,2021,sapp
10,12,0502,湘南,,A,レモンＳ,,,北海道コンサドーレ札幌,2021,sapp
11,13,0509,徳島,,A,鳴門大塚,,,北海道コンサドーレ札幌,2021,sapp
12,14,0516,川崎Ｆ,,A,等々力,,,北海道コンサドーレ札幌,2021,sapp
13,15,0522,清水,,H,札幌ド,,,北海道コンサドーレ札幌,2021,sapp
14,16,0526,鳥栖,,H,札幌ド,,,北海道コンサドーレ札幌,2021,sapp
15,17,0529,柏,,A,三協Ｆ柏,,,北海道コンサドーレ札幌,2021,sapp
16,18,0619,大分,,H,札幌厚別,,,北海道コンサドーレ札幌,2021,sapp
17,20,0627,鹿島,,A,カシマ,,,北海道コンサドーレ札幌,2021,sapp
18,21,0704,徳島,,H,札幌厚別,,,北海道コンサドーレ札幌,2021,sapp
19,22,0710,仙台,,A,ユアスタ,,,北海道コンサドーレ札幌,2021,sapp
20,4,0730,Ｇ大阪,,H,札幌厚別,,,北海道コンサドーレ札幌,2021,sapp
21,23,0809,浦和,,H,札幌ド,,,北海道コンサドーレ札幌,2021,sapp
22,24,0814,FC東京,,H,札幌ド,,,北海道コンサドーレ札幌,2021,sapp
23,25,0821,大分,,A,昭和電ド,,,北海道コンサドーレ札幌,2021,sapp
24,26,0825,名古屋,,H,札幌厚別,,,北海道コンサドーレ札幌,2021,sapp
25,27,0828,川崎Ｆ,,H,札幌ド,,,北海道コンサドーレ札幌,2021,sapp
26,28,0911,Ｃ大阪,,A,ヨドコウ,,,北海道コンサドーレ札幌,2021,sapp
27,29,0918,神戸,,A,ノエスタ,,,北海道コンサドーレ札幌,2021,sapp
28,30,0925,広島,,H,札幌ド,,,北海道コンサドーレ札幌,2021,sapp
29,31,1002,Ｇ大阪,,A,パナスタ,,,北海道コンサドーレ札幌,2021,sapp
30,32,1016,横浜FM,,A,日産ス,,,北海道コンサドーレ札幌,2021,sapp
31,33,1023,福岡,,H,未定,,,北海道コンサドーレ札幌,2021,sapp
32,34,1103,湘南,,H,未定,,,北海道コンサドーレ札幌,2021,sapp
33,35,1106,清水,,A,アイスタ,,,北海道コンサドーレ札幌,2021,sapp
34,36,1120,鳥栖,,A,駅スタ,,,北海道コンサドーレ札幌,2021,sapp
35,37,1127,柏,,H,札幌ド,,,北海道コンサドーレ札幌,2021,sapp
36,38,1204,横浜FC,,A,ニッパツ,,,北海道コンサドーレ札幌,2021,sapp
0,1,0227,広島,1-1,A,Ｅスタ,晴,手倉森　誠,ベガルタ仙台,2021,send
1,2,0306,川崎Ｆ,1-5,H,ユアスタ,晴,手倉森　誠,ベガルタ仙台,2021,send
2,3,0310,鳥栖,0-5,A,駅スタ,晴,手倉森　誠,ベガルタ仙台,2021,send
3,4,0313,湘南,1-3,A,レモンＳ,雨,手倉森　誠,ベガルタ仙台,2021,send
4,6,0321,FC東京,1-2,A,味スタ,雨のち曇,手倉森　誠,ベガルタ仙台,2021,send
5,7,0403,神戸,0-2,H,ユアスタ,晴,手倉森　誠,ベガルタ仙台,2021,send
6,8,0407,徳島,0-1,A,鳴門大塚,晴,手倉森　誠,ベガルタ仙台,2021,send
7,9,0411,横浜FM,0-0,H,ユアスタ,晴,手倉森　誠,ベガルタ仙台,2021,send
8,10,0417,横浜FC,2-2,A,ニッパツ,曇時々雨,手倉森　誠,ベガルタ仙台,2021,send
9,11,0424,札幌,1-2,A,札幌厚別,晴,手倉森　誠,ベガルタ仙台,2021,send
10,12,0501,柏,,H,ユアスタ,,,ベガルタ仙台,2021,send
11,13,0509,浦和,,A,埼玉,,,ベガルタ仙台,2021,send
12,20,0512,川崎Ｆ,,A,等々力,,,ベガルタ仙台,2021,send
13,14,0515,福岡,,H,ユアスタ,,,ベガルタ仙台,2021,send
14,15,0522,大分,,H,ユアスタ,,,ベガルタ仙台,2021,send
15,16,0526,名古屋,,A,豊田ス,,,ベガルタ仙台,2021,send
16,17,0530,Ｃ大阪,,H,ユアスタ,,,ベガルタ仙台,2021,send
17,18,0620,鹿島,,A,カシマ,,,ベガルタ仙台,2021,send
18,19,0623,清水,,H,ユアスタ,,,ベガルタ仙台,2021,send
19,21,0703,浦和,,H,ユアスタ,,,ベガルタ仙台,2021,send
20,22,0710,札幌,,H,ユアスタ,,,ベガルタ仙台,2021,send
21,5,0803,Ｇ大阪,,H,ユアスタ,,,ベガルタ仙台,2021,send
22,23,0809,Ｃ大阪,,A,ヨドコウ,,,ベガルタ仙台,2021,send
23,24,0814,横浜FC,,H,ユアスタ,,,ベガルタ仙台,2021,send
24,25,0821,横浜FM,,A,ニッパツ,,,ベガルタ仙台,2021,send
25,26,0825,FC東京,,H,ユアスタ,,,ベガルタ仙台,2021,send
26,27,0829,鳥栖,,H,ユアスタ,,,ベガルタ仙台,2021,send
27,28,0911,Ｇ大阪,,A,パナスタ,,,ベガルタ仙台,2021,send
28,29,0918,清水,,A,アイスタ,,,ベガルタ仙台,2021,send
