,選手名,選手名（英語）,最終所属,ポジション,生年月日,身長/体重,url
0,阿井　達也,Tatsuya AI,甲府,MF,1968/04/17,169/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
1,相川　進也,Shinya AIKAWA,岐阜,FW,1983/07/26,179/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
2,相澤　祥太,Shota AIZAWA,熊本,MF,1996/04/19,177/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
3,相澤　貴志,Takashi AIZAWA,徳島,GK,1982/01/05,190/87,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
4,相澤　ピーターコアミ,Peterkwame AIZAWA,千葉,GK,2001/01/20,193/87,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
5,相田　勇樹,Yuki AIDA,八戸,MF,1998/08/03,172/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
6,会津　雄生,Yuki AIZU,岐阜,DF,1996/08/01,168/63,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
7,粟飯原　尚平,Shohei AIHARA,岐阜,FW,1996/05/26,178/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
8,饗庭　瑞生,Mizuki AIBA,秋田,DF,1997/05/03,180/76,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
9,アイメン　タハール,AYMEN TAHAR,鳥栖,MF,1989/10/02,176/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
10,アイルトン,Ailton Dos Ssntos Ferraz,柏,MF,1966/01/19,171/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
11,アイルトン,AILTON De Oliveira Modesto,川崎Ｆ,MF,1980/02/27,174/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
12,アウグスト,Luis AUGUSTO Osorio Romao,新潟,MF,1983/11/20,173/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
13,アウグスト,AUGUSTO Cesar Dos Santos Moreira,松本,MF,1992/08/06,178/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
14,アウグスト,AUGUSTO Pedro De Sousa,川崎Ｆ,MF,1968/11/05,179/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
15,アウドロ,Aldrovani Menon(ALDRO),山形,FW,1972/07/30,176/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
16,アウミール,ALMIR Moraes Andrade,札幌,MF,1973/05/11,178/72,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
17,アウミール,ALMIR De Souza Fraga,湘南,FW,1969/03/26,175/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
18,阿江　孝一,Koichi AE,山形,GK,1976/04/15,187/81,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
19,青江　俊祐,Shunsuke AOE,岡山,FW,2004/11/25,171/65,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
20,青木　孝太,Kota AOKI,群馬,FW,1987/04/27,176/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
21,青木　捷,Sho AOKI,藤枝,MF,1993/06/24,172/69,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
22,青木　翔大,Shota AOKI,群馬,FW,1990/08/11,182/73,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
23,青木　想真,Soma AOKI,仙台,DF,2001/05/22,179/64,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
24,青木　拓矢,Takuya AOKI,FC東京,MF,1989/09/16,179/77,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
25,青木　剛,Takeshi AOKI,熊本,DF,1982/09/28,183/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
26,青木　翼,Tsubasa AOKI,群馬,DF,1993/11/17,182/76,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
27,青木　友佑,Yusuke AOKI,FC東京,FW,2002/08/30,170/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
28,青木　義孝,Yoshitaka AOKI,町田,DF,1998/09/02,175/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
29,青木　陸,Riku AOKI,広島,GK,2001/08/12,183/62,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
30,青木　亮太,Ryota AOKI,札幌,MF,1996/03/06,174/68,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
31,青木　良太,Ryota AOKI,群馬,DF,1984/08/19,182/74,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
32,青島　太一,Taichi AOSHIMA,清水,MF,2001/04/17,167/60,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
33,青島　拓馬,Takuma AOSHIMA,秋田,MF,1993/04/06,171/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
34,青嶋　文明,Fumiaki AOSHIMA,清水,FW,1968/07/12,178/76,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
35,青田　翔,Sho AOTA,YS横浜,FW,1986/11/13,166/62,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
36,青野　聖樹,Ibuki AONO,愛媛,MF,1999/08/02,166/60,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
37,青野　大介,Daisuke AONO,愛媛,MF,1979/09/19,175/71,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
38,青葉　幸洋,Yukihiro AOBA,徳島,DF,1979/07/26,174/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
39,青柳　仰,Go AOYAGI,浦和,DF,2005/06/03,177/66,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
40,青山　生,Ikiru AOYAMA,宮崎,DF,1996/04/11,174/70,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
41,青山　隼,Jun AOYAMA,徳島,MF,1988/01/03,182/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
42,青山　敏弘,Toshihiro AOYAMA,広島,MF,1986/02/22,173/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
43,青山　直晃,Naoaki AOYAMA,鹿児島,DF,1986/07/18,182/75,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
44,青山　景昌,Hiroaki AOYAMA,福島,MF,1996/10/14,169/67,https://data.j-league.or.jp/SFIX03/createPlayerListInfoByFirstAlphabetList?player_name_first_alphabet=%E3%81%82
