,選手名,選手名（英字）,前所属チーム,生年月日,所属チーム
0,菅野　孝憲,Takanori SUGENO,ヴェルディＪｒユース－東京ヴェルディ１９６９ユース－横浜ＦＣ－柏レイソル－京都サンガF.C.－北海道コンサドーレ札幌－京都サンガF.C.－北海道コンサドーレ札幌－京都サンガF.C.,1984/05/03,北海道コンサドーレ札幌
1,田中　駿汰,Shunta TANAKA,ＮＳＣ北斗ＳＣ－ガンバ大阪Ｊｒユース－履正社高－大阪体育大,1997/05/26,北海道コンサドーレ札幌
2,柳　貴博,Takahiro YANAGI,五本木ＦＣ－ＦＣ東京Ｕ－１５深川－ＦＣ東京Ｕ－１８－ＦＣ東京－モンテディオ山形－ＦＣ東京－ベガルタ仙台－ＦＣ東京,1997/08/05,北海道コンサドーレ札幌
3,菅　大輝,Daiki SUGA,コンサドーレ札幌Ｕ－１２－コンサドーレ札幌Ｕ－１５－北海道コンサドーレ札幌Ｕ－１８,1998/09/10,北海道コンサドーレ札幌
4,福森　晃斗,Akito FUKUMORI,ＦＣ高谷０４－村岡中－桐光学園高－川崎フロンターレ－コンサドーレ札幌－川崎フロンターレ－北海道コンサドーレ札幌－川崎フロンターレ,1992/12/16,北海道コンサドーレ札幌
5,高嶺　朋樹,Tomoki TAKAMINE,コンサドーレ札幌Ｕ－１２－コンサドーレ札幌Ｕ－１５－コンサドーレ札幌Ｕ－１８－筑波大,1997/12/29,北海道コンサドーレ札幌
6,ルーカス　フェルナンデス,LUCAS FERNANDES,ＣＲＢ／ブラジル－フルミネンセＦＣ／ブラジル－ボンスセッソ／ブラジル－ルヴェルデンセＥＣ／ブラジル－アヴァイＦＣ／ブラジル－アトレチコ　パラナエンセ／ブラジル－フルミネンセＦＣ／ブラジル－アトレチコ　パラナエンセ／ブラジル－パラナ／ブラジル－ヴィトーリア／ブラジル,1994/04/24,北海道コンサドーレ札幌
7,深井　一希,Kazuki FUKAI,コンサドーレ札幌Ｕ－１２－コンサドーレ札幌Ｕ－１５－コンサドーレ札幌Ｕ－１８,1995/03/11,北海道コンサドーレ札幌
8,金子　拓郎,Takuro KANEKO,小川サッカースポーツ少年団－クマガヤＳＣ－前橋育英高－日本大,1997/07/30,北海道コンサドーレ札幌
9,宮澤　裕樹,Hiroki MIYAZAWA,室蘭大沢ＦＣ－室蘭鶴ケ崎中－室蘭大谷高,1989/06/28,北海道コンサドーレ札幌
