,選手名,選手名（英字）,生年月日,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
0,菅野　孝憲,Takanori SUGENO,1984/05/03,北海道コンサドーレ札幌,京都サンガF.C.,北海道コンサドーレ札幌,京都サンガF.C.,北海道コンサドーレ札幌,京都サンガF.C.,柏レイソル,横浜ＦＣ,東京ヴェルディ１９６９ユース,ヴェルディＪｒユース,,,,,,,,,,,,
1,田中　駿汰,Shunta TANAKA,1997/05/26,北海道コンサドーレ札幌,大阪体育大,履正社高,ガンバ大阪Ｊｒユース,ＮＳＣ北斗ＳＣ,,,,,,,,,,,,,,,,,
2,柳　貴博,Takahiro YANAGI,1997/08/05,北海道コンサドーレ札幌,ＦＣ東京,ベガルタ仙台,ＦＣ東京,モンテディオ山形,ＦＣ東京,ＦＣ東京Ｕ-１８,ＦＣ東京Ｕ-１５深川,五本木ＦＣ,,,,,,,,,,,,,
3,菅　大輝,Daiki SUGA,1998/09/10,北海道コンサドーレ札幌,北海道コンサドーレ札幌Ｕ-１８,コンサドーレ札幌Ｕ-１５,コンサドーレ札幌Ｕ-１２,,,,,,,,,,,,,,,,,,
4,福森　晃斗,Akito FUKUMORI,1992/12/16,北海道コンサドーレ札幌,川崎フロンターレ,北海道コンサドーレ札幌,川崎フロンターレ,コンサドーレ札幌,川崎フロンターレ,桐光学園高,村岡中,ＦＣ高谷０４,,,,,,,,,,,,,
5,高嶺　朋樹,Tomoki TAKAMINE,1997/12/29,北海道コンサドーレ札幌,筑波大,コンサドーレ札幌Ｕ-１８,コンサドーレ札幌Ｕ-１５,コンサドーレ札幌Ｕ-１２,,,,,,,,,,,,,,,,,
6,ルーカス　フェルナンデス,LUCAS FERNANDES,1994/04/24,北海道コンサドーレ札幌,ヴィトーリア／ブラジル,パラナ／ブラジル,アトレチコ　パラナエンセ／ブラジル,フルミネンセＦＣ／ブラジル,アトレチコ　パラナエンセ／ブラジル,アヴァイＦＣ／ブラジル,ルヴェルデンセＥＣ／ブラジル,ボンスセッソ／ブラジル,フルミネンセＦＣ／ブラジル,ＣＲＢ／ブラジル,,,,,,,,,,,
7,深井　一希,Kazuki FUKAI,1995/03/11,北海道コンサドーレ札幌,コンサドーレ札幌Ｕ-１８,コンサドーレ札幌Ｕ-１５,コンサドーレ札幌Ｕ-１２,,,,,,,,,,,,,,,,,,
8,金子　拓郎,Takuro KANEKO,1997/07/30,北海道コンサドーレ札幌,日本大,前橋育英高,クマガヤＳＣ,小川サッカースポーツ少年団,,,,,,,,,,,,,,,,,
9,宮澤　裕樹,Hiroki MIYAZAWA,1989/06/28,北海道コンサドーレ札幌,室蘭大谷高,室蘭鶴ケ崎中,室蘭大沢ＦＣ,,,,,,,,,,,,,,,,,,
