,年月日,キックオフ時刻,スタジアム,入場者数,天候,気温,湿度,H_team,H_監督,A_team,A_監督,H_ポジション1,H_選手1,H_ポジション2,H_選手2,H_ポジション3,H_選手3,H_ポジション4,H_選手4,H_ポジション5,H_選手5,H_ポジション6,H_選手6,H_ポジション7,H_選手7,H_ポジション8,H_選手8,H_ポジション9,H_選手9,H_ポジション10,H_選手10,H_ポジション11,H_選手11,A_ポジション1,A_選手1,A_ポジション2,A_選手2,A_ポジション3,A_選手3,A_ポジション4,A_選手4,A_ポジション5,A_選手5,A_ポジション6,A_選手6,A_ポジション7,A_選手7,A_ポジション8,A_選手8,A_ポジション9,A_選手9,A_ポジション10,A_選手10,A_ポジション11,A_選手11,url
19012,20161005,19:04,市立吹田サッカースタジアム,"11,160  人",曇時々雨,26.4,90,ガンバ大阪,長谷川　健太,横浜Ｆ・マリノス,エリク　モンバエルツ,GK,藤ヶ谷　陽介,DF,米倉　恒貴,DF,丹羽　大輝,DF,金　正也,DF,藤春　廣輝,MF,井手口　陽介,MF,今野　泰幸,MF,藤本　淳吾,MF,大森　晃太郎,MF,倉田　秋,FW,パトリック,GK,榎本　哲也,DF,小林　祐三,DF,栗原　勇蔵,DF,中澤　佑二,DF,金井　貢史,MF,中町　公祐,MF,喜田　拓也,MF,前田　直輝,MF,天野　純,MF,マルティノス,FW,伊藤　翔,https://data.j-league.or.jp/SFMS02/?match_card_id=19012
19013,20161005,19:34,味の素スタジアム,"13,354  人",曇のち雨,25.0,80,ＦＣ東京,篠田　善之,浦和レッズ,堀　孝史,GK,秋元　陽太,DF,室屋　成,DF,高橋　秀人,DF,吉本　一謙,DF,小川　諒也,MF,田邉　草民,MF,橋本　拳人,MF,羽生　直剛,MF,東　慶悟,MF,中島　翔哉,FW,前田　遼一,GK,大谷　幸輝,DF,森脇　良太,DF,遠藤　航,DF,那須　大亮,MF,駒井　善成,MF,青木　拓矢,MF,阿部　勇樹,MF,関根　貴大,MF,武藤　雄樹,MF,李　忠成,FW,ズラタン,https://data.j-league.or.jp/SFMS02/?match_card_id=19013
19014,20161009,14:04,埼玉スタジアム２００２,"26,876  人",曇,23.6,54,浦和レッズ,ペトロヴィッチ,ＦＣ東京,篠田　善之,GK,大谷　幸輝,DF,森脇　良太,DF,那須　大亮,DF,宇賀神　友弥,MF,駒井　善成,MF,青木　拓矢,MF,遠藤　航,MF,関根　貴大,MF,武藤　雄樹,MF,高木　俊幸,FW,興梠　慎三,GK,秋元　陽太,DF,室屋　成,DF,吉本　一謙,DF,橋本　拳人,DF,小川　諒也,MF,梶山　陽平,MF,田邉　草民,MF,河野　広貴,MF,東　慶悟,MF,中島　翔哉,FW,平山　相太,https://data.j-league.or.jp/SFMS02/?match_card_id=19014
19015,20161009,14:00,日産スタジアム,"19,378  人",曇,23.4,54,横浜Ｆ・マリノス,エリク　モンバエルツ,ガンバ大阪,長谷川　健太,GK,榎本　哲也,DF,小林　祐三,DF,中澤　佑二,DF,パク　ジョンス,DF,金井　貢史,MF,中町　公祐,MF,喜田　拓也,MF,前田　直輝,MF,天野　純,MF,マルティノス,FW,伊藤　翔,GK,藤ヶ谷　陽介,DF,米倉　恒貴,DF,丹羽　大輝,DF,金　正也,DF,藤春　廣輝,MF,井手口　陽介,MF,今野　泰幸,MF,藤本　淳吾,MF,倉田　秋,MF,遠藤　保仁,FW,アデミウソン,https://data.j-league.or.jp/SFMS02/?match_card_id=19015
19019,20161015,13:09,埼玉スタジアム２００２,"51,248  人",晴,22.5,37,ガンバ大阪,長谷川　健太,浦和レッズ,ペトロヴィッチ,GK,東口　順昭,DF,米倉　恒貴,DF,丹羽　大輝,DF,金　正也,DF,藤春　廣輝,MF,井手口　陽介,MF,今野　泰幸,MF,倉田　秋,MF,大森　晃太郎,MF,遠藤　保仁,FW,アデミウソン,GK,西川　周作,DF,森脇　良太,DF,遠藤　航,DF,槙野　智章,MF,関根　貴大,MF,柏木　陽介,MF,阿部　勇樹,MF,宇賀神　友弥,MF,武藤　雄樹,MF,高木　俊幸,FW,興梠　慎三,https://data.j-league.or.jp/SFMS02/?match_card_id=19019
19048,20161123,14:00,等々力陸上競技場,"24,209  人",曇,13.5,42,川崎フロンターレ,風間　八宏,鹿島アントラーズ,石井　正忠,GK,チョン　ソンリョン,DF,エウシーニョ,DF,谷口　彰悟,DF,エドゥアルド,DF,車屋　紳太郎,MF,板倉　滉,MF,エドゥアルド　ネット,MF,田坂　祐介,MF,三好　康児,FW,長谷川　竜也,FW,大久保　嘉人,GK,曽ヶ端　準,DF,西　大伍,DF,ファン　ソッコ,DF,昌子　源,DF,山本　脩斗,MF,永木　亮太,MF,小笠原　満男,MF,遠藤　康,MF,ファブリシオ,FW,土居　聖真,FW,金崎　夢生,https://data.j-league.or.jp/SFMS02/?match_card_id=19048
19052,20161127,12:33,栃木県グリーンスタジアム,"5,369  人",曇時々雨,15.1,65,栃木ＳＣ,横山　雄次,ツエーゲン金沢,森下　仁之,GK,吉満　大介,DF,山形　辰徳,DF,坂田　良太,DF,尾本　敬,DF,菅　和範,MF,廣瀬　浩二,MF,西澤　代志也,MF,島川　俊郎,MF,宮崎　泰右,FW,上形　洋介,FW,大石　治寿,GK,原田　欽庸,DF,太田　康介,DF,野田　紘史,DF,馬渡　和彰,DF,廣井　友信,MF,小柳　達司,MF,熊谷　アンドリュー,MF,大槻　優平,MF,秋葉　勝,FW,山﨑　雅人,FW,中美　慶哉,https://data.j-league.or.jp/SFMS02/?match_card_id=19052
19053,20161204,12:34,富山県総合運動公園陸上競技場,"7,130  人",曇,19.6,34,ツエーゲン金沢,森下　仁之,栃木ＳＣ,横山　雄次,GK,原田　欽庸,DF,太田　康介,DF,野田　紘史,DF,馬渡　和彰,DF,廣井　友信,MF,小柳　達司,MF,熊谷　アンドリュー,MF,嶺岸　佳介,MF,大槻　優平,FW,山﨑　雅人,FW,中美　慶哉,GK,吉満　大介,DF,山形　辰徳,DF,坂田　良太,DF,尾本　敬,DF,菅　和範,MF,宮崎　泰右,MF,島川　俊郎,MF,本間　勲,MF,西谷　和希,FW,廣瀬　浩二,FW,大石　治寿,https://data.j-league.or.jp/SFMS02/?match_card_id=19053
19054,20161127,15:33,松本平広域公園総合球技場,"12,200  人",雨,8.2,100,松本山雅ＦＣ,反町　康治,ファジアーノ岡山,長澤　徹,GK,シュミット　ダニエル,DF,田中　隼磨,DF,後藤　圭太,DF,飯田　真輝,DF,喜山　康平,MF,岩間　雄大,MF,パウリーニョ,MF,飯尾　竜太朗,MF,石原　崇兆,FW,高崎　寛之,FW,工藤　浩平,GK,中林　洋次,DF,篠原　弘次郎,DF,岩政　大樹,DF,片山　瑛一,MF,澤口　雅彦,MF,関戸　健二,MF,矢島　慎也,MF,三村　真,FW,押谷　祐樹,FW,赤嶺　真吾,FW,伊藤　大介,https://data.j-league.or.jp/SFMS02/?match_card_id=19054
19055,20161127,15:34,キンチョウスタジアム,"13,922  人",雨,13.2,90,セレッソ大阪,大熊　清,京都サンガF.C.,石丸　清隆,GK,キム　ジンヒョン,DF,藤本　康太,DF,松田　陸,DF,山下　達也,MF,ソウザ,MF,丸橋　祐介,MF,清原　翔平,MF,山口　蛍,FW,柿谷　曜一朗,FW,杉本　健勇,FW,澤上　竜二,GK,菅野　孝憲,DF,菅沼　駿哉,DF,本多　勇喜,DF,高橋　祐治,DF,石櫃　洋祐,DF,吉野　恭平,MF,アンドレイ,MF,山瀬　功治,FW,ダニエル　ロビーニョ,FW,エスクデロ　競飛王,FW,イ　ヨンジェ,https://data.j-league.or.jp/SFMS02/?match_card_id=19055
