,日付,キックオフ時刻,スタジアム,入場者数,天候,気温,湿度,H_team,H_監督,H_ポジション1,H_選手1,H_ポジション2,H_選手2,H_ポジション3,H_選手3,H_ポジション4,H_選手4,H_ポジション5,H_選手5,H_ポジション6,H_選手6,H_ポジション7,H_選手7,H_ポジション8,H_選手8,H_ポジション9,H_選手9,H_ポジション10,H_選手10,H_ポジション11,H_選手11,A_team,A_監督,A_ポジション1,A_選手1,A_ポジション2,A_選手2,A_ポジション3,A_選手3,A_ポジション4,A_選手4,A_ポジション5,A_選手5,A_ポジション6,A_選手6,A_ポジション7,A_選手7,A_ポジション8,A_選手8,A_ポジション9,A_選手9,A_ポジション10,A_選手10,A_ポジション11,A_選手11,url
19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.j-league.or.jp/SFMS02/?match_card_id=19000
19001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.j-league.or.jp/SFMS02/?match_card_id=19001
19002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.j-league.or.jp/SFMS02/?match_card_id=19002
19003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.j-league.or.jp/SFMS02/?match_card_id=19003
19004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.j-league.or.jp/SFMS02/?match_card_id=19004
19005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.j-league.or.jp/SFMS02/?match_card_id=19005
19006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.j-league.or.jp/SFMS02/?match_card_id=19006
19007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.j-league.or.jp/SFMS02/?match_card_id=19007
19008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.j-league.or.jp/SFMS02/?match_card_id=19008
19009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.j-league.or.jp/SFMS02/?match_card_id=19009
19010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.j-league.or.jp/SFMS02/?match_card_id=19010
19011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://data.j-league.or.jp/SFMS02/?match_card_id=19011
19012,2016/10/05,19:04,市立吹田サッカースタジアム,"11,160  人",曇時々雨,26.4,90%,ガンバ大阪,長谷川　健太,GK,藤ヶ谷　陽介,DF,米倉　恒貴,DF,丹羽　大輝,DF,金　正也,DF,藤春　廣輝,MF,井手口　陽介,MF,今野　泰幸,MF,藤本　淳吾,MF,大森　晃太郎,MF,倉田　秋,FW,パトリック,横浜Ｆ・マリノス,エリク　モンバエルツ,GK,榎本　哲也,DF,小林　祐三,DF,栗原　勇蔵,DF,中澤　佑二,DF,金井　貢史,MF,中町　公祐,MF,喜田　拓也,MF,前田　直輝,MF,天野　純,MF,マルティノス,FW,伊藤　翔,https://data.j-league.or.jp/SFMS02/?match_card_id=19012
