,選手名,選手名（英語）,ポジション,生年月日,身長,体重,所属チーム,前所属チーム1,前所属チーム2,前所属チーム3,前所属チーム4,前所属チーム5,前所属チーム6,前所属チーム7,前所属チーム8,前所属チーム9,前所属チーム10,前所属チーム11,前所属チーム12,前所属チーム13,前所属チーム14,前所属チーム15,前所属チーム16,前所属チーム17,前所属チーム18,前所属チーム19,前所属チーム20,前所属チーム21
0,阿井　達也,Tatsuya AI,MF,1968/04/17,169,67,,,,,,,,,,,,,,,,,,,,,,
1,相川　進也,Shinya AIKAWA,FW,1983/07/26,179,74,,,,,,,,,,,,,,,,,,,,,,
2,相澤　祥太,Shota AIZAWA,MF,1996/04/19,177,74,,,,,,,,,,,,,,,,,,,,,,
3,相澤　貴志,Takashi AIZAWA,GK,1982/01/05,190,87,,,,,,,,,,,,,,,,,,,,,,
4,相澤　ピーターコアミ,Peterkwame AIZAWA,GK,2001/01/20,193,87,ジェフユナイテッド千葉,日本文理高,ＡＺ８６東京青梅,７ＦＣ福生,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,相田　勇樹,Yuki AIDA,MF,1998/08/03,172,66,ヴァンラーレ八戸,札幌大,山梨学院高,あきる野ＦＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,会津　雄生,Yuki AIZU,DF,1996/08/01,168,63,,,,,,,,,,,,,,,,,,,,,,
7,粟飯原　尚平,Shohei AIHARA,FW,1996/05/26,178,75,ＦＣ岐阜,近畿大,北海道コンサドーレ札幌Ｕ-１８,ＳＳＳ札幌,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,饗庭　瑞生,Mizuki AIBA,DF,1997/05/03,180,76,ブラウブリッツ秋田,福岡大,立正大淞南高,セレッソ大阪和歌山Ｕ-１５,木ノ本ＪＳＣ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,アイメン　タハール,AYMEN TAHAR,MF,1989/10/02,176,70,,,,,,,,,,,,,,,,,,,,,,
10,アイルトン,AILTON De Oliveira Modesto,MF,1980/02/27,174,70,,,,,,,,,,,,,,,,,,,,,,
11,アウグスト,Luis AUGUSTO Osorio Romao,MF,1983/11/20,173,67,,,,,,,,,,,,,,,,,,,,,,
12,アウグスト,AUGUSTO Cesar Dos Santos Moreira,MF,1992/08/06,178,70,,,,,,,,,,,,,,,,,,,,,,
13,アウグスト,AUGUSTO Pedro De Sousa,MF,1968/11/05,179,73,,,,,,,,,,,,,,,,,,,,,,
14,アウドロ,Aldrovani Menon(ALDRO),FW,1972/07/30,176,74,,,,,,,,,,,,,,,,,,,,,,
15,アウミール,ALMIR Moraes Andrade,MF,1973/05/11,178,72,,,,,,,,,,,,,,,,,,,,,,
16,アウミール,ALMIR De Souza Fraga,FW,1969/03/26,175,65,,,,,,,,,,,,,,,,,,,,,,
17,阿江　孝一,Koichi AE,GK,1976/04/15,187,81,,,,,,,,,,,,,,,,,,,,,,
18,青江　俊祐,Shunsuke AOE,FW,2004/11/25,171,65,,,,,,,,,,,,,,,,,,,,,,
19,青木　孝太,Kota AOKI,FW,1987/04/27,176,67,,,,,,,,,,,,,,,,,,,,,,
20,青木　捷,Sho AOKI,MF,1993/06/24,172,69,,,,,,,,,,,,,,,,,,,,,,
21,青木　翔大,Shota AOKI,FW,1990/08/11,182,73,ザスパクサツ群馬,アスルクラロ沼津,横浜ＦＣ,ＦＣ琉球,横浜ＦＣ,ＡＣ長野パルセイロ,横浜ＦＣ,桐蔭横浜大,鹿島学園高,クラブフットワークＪｒユース,毛利台ＦＣ,-,-,-,-,-,-,-,-,-,-,-
