,グラフ,順位,チーム,勝点,試合,勝,分,敗,得点,失点,得失点差,直近試合の勝敗,Unnamed: 12,Unnamed: 13,year,カテゴリ,節,stage,年間勝点順位,総勝点,Unnamed: 14,Unnamed: 15
0,グラフ,1,浦和レッズ,3,1,1,0,0,3,1,2,,,111.0,2015,J1,1,１ｓｔ,,,,
1,グラフ,1,川崎フロンターレ,3,1,1,0,0,3,1,2,,,142.0,2015,J1,1,１ｓｔ,,,,
2,グラフ,1,清水エスパルス,3,1,1,0,0,3,1,2,,,221.0,2015,J1,1,１ｓｔ,,,,
3,グラフ,4,ベガルタ仙台,3,1,1,0,0,2,0,2,,,41.0,2015,J1,1,１ｓｔ,,,,
4,グラフ,4,サンフレッチェ広島,3,1,1,0,0,2,0,2,,,341.0,2015,J1,1,１ｓｔ,,,,
5,グラフ,6,サガン鳥栖,3,1,1,0,0,2,1,1,,,412.0,2015,J1,1,１ｓｔ,,,,
6,グラフ,7,柏レイソル,3,1,1,0,0,1,0,1,,,122.0,2015,J1,1,１ｓｔ,,,,
7,グラフ,8,松本山雅ＦＣ,1,1,0,1,0,3,3,0,,,160.0,2015,J1,1,１ｓｔ,,,,
8,グラフ,8,名古屋グランパス,1,1,0,1,0,3,3,0,,,231.0,2015,J1,1,１ｓｔ,,,,
9,グラフ,10,ＦＣ東京,1,1,0,1,0,2,2,0,,,130.0,2015,J1,1,１ｓｔ,,,,
10,グラフ,10,ガンバ大阪,1,1,0,1,0,2,2,0,,,271.0,2015,J1,1,１ｓｔ,,,,
11,グラフ,12,アルビレックス新潟,0,1,0,0,1,1,2,-1,,,191.0,2015,J1,1,１ｓｔ,,,,
12,グラフ,13,ヴィッセル神戸,0,1,0,0,1,0,1,-1,,,281.0,2015,J1,1,１ｓｔ,,,,
13,グラフ,14,鹿島アントラーズ,0,1,0,0,1,1,3,-2,,,80.0,2015,J1,1,１ｓｔ,,,,
14,グラフ,14,横浜Ｆ・マリノス,0,1,0,0,1,1,3,-2,,,143.0,2015,J1,1,１ｓｔ,,,,
15,グラフ,14,湘南ベルマーレ,0,1,0,0,1,1,3,-2,,,147.0,2015,J1,1,１ｓｔ,,,,
16,グラフ,17,モンテディオ山形,0,1,0,0,1,0,2,-2,,,60.0,2015,J1,1,１ｓｔ,,,,
17,グラフ,17,ヴァンフォーレ甲府,0,1,0,0,1,0,2,-2,,,151.0,2015,J1,1,１ｓｔ,,,,
0,グラフ,1,ヴィッセル神戸,3,1,1,0,0,5,0,5,,,,2015,J1,1,2ｓｔ,11.0,22.0,,281.0
1,グラフ,2,川崎フロンターレ,3,1,1,0,0,2,0,2,,,,2015,J1,1,2ｓｔ,5.0,33.0,,142.0
