,年月日,節,スタジアム,H_勝点,H_試合,H_勝,H_分,H_敗,H_得点,H_失点,H_得失点差,H_rest_days,A_勝点,A_試合,A_勝,A_分,A_敗,A_得点,A_失点,A_得失点差,A_rest_days,H_監督,A_監督,y_H_goal,y_A_goal,y_goal_deff,y_even_flg,y_H_result,J1_flg,J2_flg,J3_flg,H_DF,H_MF,H_FW,A_DF,A_MF,A_FW,H_順位,A_順位,H_Team,A_Team,train_test
0,20181201.0,34.0,11.0,55.0,33.0,16.0,7.0,10.0,50.0,39.0,11.0,7.0,40.0,33.0,10.0,10.0,13.0,29.0,34.0,-5.0,7.0,71.0,160.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,15.0,2.0,18.0,train
1,20181201.0,34.0,21.0,42.0,33.0,11.0,9.0,13.0,42.0,50.0,-8.0,7.0,45.0,33.0,13.0,6.0,14.0,42.0,51.0,-9.0,7.0,21.0,136.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,3.0,2.0,3.0,4.0,3.0,11.0,10.0,14.0,1.0,train
2,20181201.0,34.0,23.0,40.0,33.0,12.0,4.0,17.0,50.0,57.0,-7.0,7.0,40.0,33.0,10.0,10.0,13.0,36.0,41.0,-5.0,7.0,169.0,104.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,3.0,3.0,4.0,3.0,16.0,14.0,11.0,9.0,train
3,20181201.0,34.0,17.0,29.0,33.0,8.0,5.0,20.0,35.0,55.0,-20.0,7.0,48.0,33.0,14.0,6.0,13.0,52.0,44.0,8.0,7.0,170.0,34.0,4.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,6.0,1.0,4.0,4.0,2.0,18.0,7.0,40.0,10.0,train
4,20181201.0,34.0,35.0,36.0,33.0,11.0,3.0,19.0,43.0,52.0,-9.0,7.0,48.0,33.0,14.0,6.0,13.0,39.0,42.0,-3.0,7.0,92.0,85.0,4.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0,17.0,8.0,4.0,12.0,train
5,20181201.0,34.0,56.0,41.0,33.0,12.0,5.0,16.0,55.0,54.0,1.0,7.0,47.0,33.0,12.0,11.0,10.0,37.0,37.0,0.0,7.0,1.0,92.0,1.0,2.0,-1.0,0.0,2.0,1.0,0.0,0.0,3.0,5.0,2.0,4.0,5.0,1.0,12.0,9.0,7.0,13.0,train
6,20181201.0,34.0,81.0,66.0,33.0,20.0,6.0,7.0,55.0,26.0,29.0,7.0,41.0,33.0,10.0,11.0,12.0,34.0,46.0,-12.0,7.0,172.0,67.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,5.0,1.0,4.0,4.0,2.0,1.0,13.0,6.0,34.0,train
7,20181201.0,34.0,48.0,48.0,33.0,13.0,9.0,11.0,48.0,37.0,11.0,7.0,50.0,33.0,14.0,8.0,11.0,37.0,31.0,6.0,7.0,4.0,167.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,5.0,2.0,4.0,4.0,2.0,6.0,5.0,3.0,5.0,train
8,20181201.0,34.0,58.0,54.0,33.0,15.0,9.0,9.0,46.0,46.0,0.0,7.0,56.0,33.0,17.0,5.0,11.0,45.0,33.0,12.0,7.0,24.0,71.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,6.0,1.0,3.0,6.0,1.0,4.0,2.0,0.0,15.0,train
9,20181124.0,33.0,29.0,41.0,32.0,10.0,11.0,11.0,34.0,44.0,-10.0,14.0,51.0,32.0,14.0,9.0,9.0,44.0,46.0,-2.0,14.0,64.0,27.0,0.0,2.0,-2.0,0.0,2.0,1.0,0.0,0.0,4.0,5.0,1.0,3.0,6.0,1.0,13.0,4.0,34.0,0.0,train
10,20181124.0,33.0,44.0,45.0,32.0,13.0,6.0,13.0,37.0,41.0,-4.0,14.0,29.0,32.0,8.0,5.0,19.0,34.0,53.0,-19.0,14.0,83.0,175.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,3.0,6.0,1.0,9.0,18.0,12.0,40.0,train
11,20181124.0,33.0,101.0,37.0,32.0,9.0,10.0,13.0,34.0,40.0,-6.0,14.0,48.0,32.0,13.0,9.0,10.0,47.0,35.0,12.0,14.0,100.0,6.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,3.0,3.0,5.0,2.0,14.0,6.0,9.0,3.0,train
12,20181124.0,33.0,8.0,47.0,32.0,14.0,5.0,13.0,49.0,41.0,8.0,14.0,41.0,32.0,11.0,8.0,13.0,39.0,47.0,-8.0,14.0,31.0,24.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,2.0,5.0,4.0,1.0,7.0,12.0,10.0,14.0,train
13,20181124.0,33.0,30.0,47.0,32.0,12.0,11.0,9.0,37.0,34.0,3.0,14.0,33.0,32.0,10.0,3.0,19.0,40.0,52.0,-12.0,18.0,90.0,95.0,0.0,3.0,-3.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0,8.0,17.0,13.0,4.0,train
14,20181124.0,33.0,45.0,50.0,32.0,14.0,8.0,10.0,37.0,29.0,8.0,14.0,63.0,32.0,19.0,6.0,7.0,53.0,26.0,27.0,14.0,161.0,178.0,0.0,2.0,-2.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,2.0,4.0,5.0,1.0,5.0,1.0,5.0,6.0,train
15,20181124.0,33.0,31.0,45.0,32.0,13.0,6.0,13.0,42.0,48.0,-6.0,14.0,52.0,32.0,15.0,7.0,10.0,47.0,39.0,8.0,18.0,130.0,74.0,0.0,3.0,-3.0,0.0,2.0,1.0,0.0,0.0,3.0,4.0,3.0,4.0,4.0,2.0,10.0,3.0,1.0,2.0,train
16,20181124.0,33.0,103.0,56.0,32.0,17.0,5.0,10.0,44.0,31.0,13.0,14.0,37.0,32.0,11.0,4.0,17.0,48.0,56.0,-8.0,14.0,68.0,174.0,1.0,2.0,-1.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,16.0,15.0,11.0,train
17,20181124.0,33.0,26.0,37.0,32.0,9.0,10.0,13.0,27.0,33.0,-6.0,14.0,41.0,32.0,12.0,5.0,15.0,54.0,52.0,2.0,14.0,154.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,4.0,3.0,3.0,15.0,11.0,18.0,7.0,train
18,20181117.0,42.0,72.0,75.0,41.0,21.0,12.0,8.0,61.0,43.0,18.0,6.0,70.0,41.0,19.0,13.0,9.0,55.0,40.0,15.0,6.0,137.0,39.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,5.0,28.0,27.0,train
19,20181117.0,42.0,4.0,31.0,41.0,8.0,7.0,26.0,47.0,79.0,-32.0,6.0,48.0,41.0,12.0,12.0,17.0,34.0,49.0,-15.0,6.0,129.0,97.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,3.0,4.0,4.0,2.0,21.0,18.0,54.0,38.0,train
20,20181117.0,42.0,74.0,52.0,41.0,13.0,13.0,15.0,49.0,47.0,2.0,7.0,57.0,41.0,16.0,9.0,16.0,47.0,43.0,4.0,6.0,113.0,168.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,2.0,4.0,5.0,1.0,16.0,10.0,33.0,22.0,train
21,20181117.0,42.0,16.0,53.0,41.0,15.0,8.0,18.0,48.0,54.0,-6.0,6.0,58.0,41.0,15.0,13.0,13.0,61.0,64.0,-3.0,6.0,132.0,172.0,0.0,2.0,-2.0,0.0,2.0,0.0,1.0,0.0,4.0,4.0,2.0,4.0,3.0,3.0,15.0,9.0,32.0,37.0,train
22,20181117.0,42.0,14.0,76.0,41.0,21.0,13.0,7.0,54.0,34.0,20.0,6.0,55.0,41.0,16.0,7.0,18.0,48.0,42.0,6.0,6.0,56.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,5.0,2.0,3.0,5.0,2.0,1.0,11.0,31.0,16.0,train
23,20181117.0,42.0,102.0,53.0,41.0,14.0,11.0,16.0,39.0,42.0,-3.0,7.0,68.0,41.0,20.0,8.0,13.0,64.0,48.0,16.0,7.0,160.0,145.0,0.0,1.0,-1.0,0.0,2.0,0.0,1.0,0.0,3.0,5.0,2.0,4.0,4.0,2.0,14.0,7.0,36.0,25.0,train
24,20181117.0,42.0,37.0,59.0,41.0,16.0,11.0,14.0,56.0,45.0,11.0,6.0,73.0,41.0,20.0,13.0,8.0,62.0,44.0,18.0,7.0,39.0,16.0,0.0,1.0,-1.0,0.0,2.0,0.0,1.0,0.0,5.0,3.0,2.0,3.0,6.0,1.0,8.0,4.0,30.0,8.0,train
25,20181117.0,42.0,24.0,31.0,41.0,7.0,10.0,24.0,28.0,70.0,-42.0,6.0,40.0,41.0,11.0,7.0,23.0,38.0,58.0,-20.0,7.0,53.0,11.0,0.0,2.0,-2.0,0.0,2.0,0.0,1.0,0.0,4.0,5.0,1.0,5.0,4.0,1.0,22.0,20.0,52.0,35.0,train
26,20181117.0,42.0,91.0,41.0,41.0,11.0,8.0,22.0,44.0,62.0,-18.0,6.0,69.0,41.0,19.0,12.0,10.0,58.0,42.0,16.0,6.0,72.0,48.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0,4.0,5.0,1.0,19.0,6.0,50.0,17.0,train
27,20181117.0,42.0,106.0,55.0,41.0,14.0,13.0,14.0,48.0,50.0,-2.0,7.0,75.0,41.0,23.0,6.0,12.0,75.0,50.0,25.0,7.0,103.0,139.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,4.0,3.0,3.0,4.0,3.0,12.0,2.0,21.0,19.0,train
28,20181117.0,42.0,25.0,54.0,41.0,16.0,6.0,19.0,72.0,72.0,0.0,7.0,49.0,41.0,13.0,10.0,18.0,38.0,48.0,-10.0,6.0,20.0,128.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,2.0,3.0,4.0,3.0,13.0,17.0,26.0,23.0,train
29,20181111.0,41.0,20.0,48.0,40.0,12.0,12.0,16.0,34.0,47.0,-13.0,7.0,72.0,40.0,20.0,12.0,8.0,59.0,43.0,16.0,7.0,94.0,143.0,0.0,2.0,-2.0,0.0,2.0,0.0,1.0,0.0,3.0,6.0,1.0,4.0,4.0,2.0,18.0,3.0,38.0,28.0,train
30,20181111.0,41.0,7.0,58.0,40.0,15.0,13.0,12.0,61.0,63.0,-2.0,6.0,56.0,40.0,15.0,11.0,14.0,55.0,45.0,10.0,7.0,167.0,43.0,0.0,1.0,-1.0,0.0,2.0,0.0,1.0,0.0,4.0,5.0,1.0,3.0,4.0,3.0,8.0,9.0,37.0,30.0,train
31,20181111.0,41.0,98.0,54.0,40.0,16.0,6.0,18.0,48.0,42.0,6.0,7.0,52.0,40.0,15.0,7.0,18.0,48.0,54.0,-6.0,8.0,34.0,138.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,6.0,1.0,4.0,4.0,2.0,12.0,15.0,16.0,32.0,train
32,20181111.0,41.0,104.0,56.0,40.0,16.0,8.0,16.0,46.0,42.0,4.0,7.0,40.0,40.0,11.0,7.0,22.0,43.0,61.0,-18.0,7.0,162.0,75.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,4.0,2.0,4.0,3.0,3.0,10.0,20.0,22.0,50.0,train
33,20181111.0,41.0,63.0,49.0,40.0,13.0,10.0,17.0,38.0,47.0,-9.0,7.0,73.0,40.0,20.0,13.0,7.0,53.0,34.0,19.0,7.0,122.0,59.0,0.0,1.0,-1.0,0.0,2.0,0.0,1.0,0.0,3.0,4.0,3.0,3.0,5.0,2.0,17.0,1.0,23.0,31.0,train
34,20181111.0,41.0,45.0,67.0,40.0,18.0,13.0,9.0,54.0,40.0,14.0,7.0,31.0,40.0,7.0,10.0,23.0,28.0,69.0,-41.0,7.0,36.0,57.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,3.0,4.0,5.0,1.0,5.0,22.0,27.0,52.0,train
35,20181111.0,41.0,32.0,66.0,40.0,18.0,12.0,10.0,57.0,42.0,15.0,7.0,31.0,40.0,8.0,7.0,25.0,47.0,78.0,-31.0,8.0,45.0,135.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,3.0,3.0,4.0,3.0,6.0,21.0,17.0,54.0,train
36,20181110.0,32.0,8.0,44.0,31.0,13.0,5.0,13.0,47.0,41.0,6.0,8.0,34.0,30.0,10.0,4.0,16.0,47.0,54.0,-7.0,4.0,144.0,174.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0,7.0,16.0,10.0,11.0,train
37,20181110.0,32.0,45.0,49.0,31.0,14.0,7.0,10.0,37.0,29.0,8.0,7.0,40.0,31.0,10.0,10.0,11.0,34.0,44.0,-10.0,7.0,161.0,67.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,2.0,4.0,5.0,1.0,4.0,12.0,5.0,34.0,train
38,20181110.0,32.0,103.0,56.0,31.0,17.0,5.0,9.0,44.0,30.0,14.0,7.0,42.0,31.0,12.0,6.0,13.0,41.0,48.0,-7.0,6.0,68.0,136.0,0.0,1.0,-1.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,10.0,15.0,1.0,train
39,20181110.0,32.0,30.0,44.0,30.0,11.0,11.0,8.0,35.0,32.0,3.0,4.0,63.0,31.0,19.0,6.0,6.0,52.0,24.0,28.0,7.0,90.0,178.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,3.0,4.0,5.0,1.0,8.0,1.0,13.0,6.0,train
40,20181110.0,41.0,51.0,72.0,40.0,22.0,6.0,12.0,73.0,49.0,24.0,6.0,52.0,40.0,13.0,13.0,14.0,48.0,45.0,3.0,6.0,133.0,119.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,5.0,2.0,4.0,5.0,1.0,2.0,14.0,19.0,33.0,train
41,20181110.0,41.0,18.0,70.0,40.0,19.0,13.0,8.0,60.0,43.0,17.0,6.0,53.0,40.0,14.0,11.0,15.0,38.0,40.0,-2.0,5.0,14.0,166.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,6.0,1.0,3.0,4.0,3.0,4.0,13.0,8.0,36.0,train
42,20181110.0,32.0,44.0,42.0,31.0,12.0,6.0,13.0,36.0,41.0,-5.0,7.0,37.0,31.0,9.0,10.0,12.0,34.0,39.0,-5.0,8.0,83.0,104.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,3.0,4.0,3.0,9.0,14.0,12.0,9.0,train
43,20181110.0,32.0,59.0,51.0,31.0,14.0,9.0,8.0,43.0,44.0,-1.0,6.0,45.0,31.0,12.0,9.0,10.0,45.0,34.0,11.0,7.0,24.0,6.0,1.0,2.0,-1.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,1.0,3.0,5.0,2.0,3.0,6.0,0.0,3.0,train
44,20181110.0,32.0,17.0,29.0,31.0,8.0,5.0,18.0,34.0,52.0,-18.0,6.0,38.0,31.0,11.0,5.0,15.0,53.0,52.0,1.0,7.0,170.0,2.0,0.0,1.0,-1.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,1.0,4.0,3.0,3.0,18.0,13.0,40.0,7.0,train
45,20181110.0,41.0,105.0,65.0,40.0,19.0,8.0,13.0,62.0,47.0,15.0,6.0,55.0,40.0,14.0,13.0,13.0,47.0,48.0,-1.0,6.0,139.0,108.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,2.0,3.0,4.0,3.0,7.0,11.0,25.0,21.0,train
46,20181110.0,41.0,85.0,40.0,40.0,11.0,7.0,22.0,38.0,55.0,-17.0,6.0,51.0,40.0,15.0,6.0,19.0,69.0,72.0,-3.0,6.0,9.0,23.0,0.0,3.0,-3.0,0.0,2.0,0.0,1.0,0.0,5.0,4.0,1.0,4.0,4.0,2.0,19.0,16.0,35.0,26.0,train
47,20181110.0,32.0,21.0,40.0,31.0,11.0,7.0,13.0,39.0,47.0,-8.0,7.0,36.0,31.0,9.0,9.0,13.0,27.0,33.0,-6.0,6.0,21.0,160.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0,11.0,15.0,14.0,18.0,train
48,20181106.0,32.0,35.0,33.0,31.0,10.0,3.0,18.0,38.0,49.0,-11.0,3.0,49.0,31.0,14.0,7.0,10.0,44.0,37.0,7.0,6.0,52.0,74.0,2.0,3.0,-1.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0,17.0,5.0,4.0,2.0,train
49,20181106.0,28.0,87.0,41.0,27.0,10.0,11.0,6.0,34.0,30.0,4.0,6.0,31.0,26.0,9.0,4.0,13.0,43.0,48.0,-5.0,3.0,90.0,174.0,0.0,1.0,-1.0,0.0,2.0,1.0,0.0,0.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,13.0,13.0,11.0,train
50,20181104.0,40.0,104.0,53.0,39.0,15.0,8.0,16.0,44.0,42.0,2.0,7.0,56.0,39.0,15.0,11.0,13.0,55.0,43.0,12.0,7.0,162.0,43.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,5.0,1.0,3.0,4.0,3.0,11.0,8.0,22.0,30.0,train
51,20181104.0,40.0,85.0,40.0,39.0,11.0,7.0,21.0,38.0,54.0,-16.0,7.0,45.0,39.0,11.0,12.0,16.0,33.0,47.0,-14.0,7.0,9.0,97.0,0.0,1.0,-1.0,0.0,2.0,0.0,1.0,0.0,4.0,3.0,3.0,3.0,5.0,2.0,19.0,18.0,35.0,38.0,train
52,20181104.0,40.0,18.0,67.0,39.0,18.0,13.0,8.0,57.0,42.0,15.0,7.0,72.0,39.0,22.0,6.0,11.0,72.0,46.0,26.0,7.0,14.0,139.0,3.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,6.0,1.0,3.0,4.0,3.0,4.0,1.0,8.0,19.0,train
53,20181104.0,40.0,24.0,30.0,38.0,7.0,9.0,22.0,26.0,66.0,-40.0,4.0,46.0,39.0,12.0,10.0,17.0,36.0,46.0,-10.0,7.0,53.0,128.0,1.0,2.0,-1.0,0.0,2.0,0.0,1.0,0.0,4.0,4.0,2.0,3.0,4.0,3.0,21.0,17.0,52.0,23.0,train
54,20181104.0,40.0,72.0,68.0,38.0,19.0,11.0,8.0,56.0,41.0,15.0,4.0,66.0,39.0,18.0,12.0,9.0,56.0,40.0,16.0,7.0,137.0,48.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,2.0,3.0,5.0,2.0,3.0,6.0,28.0,17.0,train
55,20181104.0,40.0,91.0,40.0,39.0,11.0,7.0,21.0,43.0,60.0,-17.0,7.0,52.0,39.0,13.0,13.0,13.0,46.0,48.0,-2.0,7.0,72.0,108.0,0.0,1.0,-1.0,0.0,2.0,0.0,1.0,0.0,4.0,3.0,3.0,3.0,4.0,3.0,20.0,13.0,50.0,21.0,train
56,20181104.0,31.0,26.0,33.0,30.0,8.0,9.0,13.0,26.0,33.0,-7.0,15.0,29.0,30.0,8.0,5.0,17.0,34.0,51.0,-17.0,14.0,154.0,175.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,3.0,6.0,1.0,16.0,18.0,18.0,40.0,train
